"동읍면/5세별 주민등록인구"

"C행정구역(동읍면)별","행정구역(동읍면)별","C5세별","5세별","시점","인구 (명)","남 (명)","여 (명)"
'00,"전국",'00,"계",1997,46684069,23445473,23238596
'00,"전국",'05,"0 - 4세",1997,3489270,1848555,1640715
'00,"전국",'10,"5 - 9세",1997,3344615,1771596,1573019
'00,"전국",'15,"10 - 14세",1997,3323799,1726908,1596891
'00,"전국",'20,"15 - 19세",1997,4077492,2098190,1979302
'00,"전국",'25,"20 - 24세",1997,4127817,2106424,2021393
'00,"전국",'30,"25 - 29세",1997,4685866,2399515,2286351
'00,"전국",'35,"30 - 34세",1997,4262582,2192901,2069681
'00,"전국",'40,"35 - 39세",1997,4522271,2318220,2204051
'00,"전국",'45,"40 - 44세",1997,3528081,1805594,1722487
'00,"전국",'50,"45 - 49세",1997,2586350,1318212,1268138
'00,"전국",'55,"50 - 54세",1997,2097852,1042932,1054920
'00,"전국",'60,"55 - 59세",1997,2117129,1019504,1097625
'00,"전국",'65,"60 - 64세",1997,1627553,737604,889949
'00,"전국",'70,"65 - 69세",1997,1135645,456087,679558
'00,"전국",'75,"70 - 74세",1997,785459,296890,488569
'00,"전국",'80,"75 - 79세",1997,520235,184187,336048
'00,"전국",'85,"80 - 84세",1997,283107,83927,199180
'00,"전국",'90,"85+ ",1997,168946,38227,130719
'11,"서울특별시",'00,"계",1997,10336134,5186530,5149604
'11,"서울특별시",'05,"0 - 4세",1997,700967,368297,332670
'11,"서울특별시",'10,"5 - 9세",1997,654794,345574,309220
'11,"서울특별시",'15,"10 - 14세",1997,694602,364608,329994
'11,"서울특별시",'20,"15 - 19세",1997,910066,474500,435566
'11,"서울특별시",'25,"20 - 24세",1997,976142,479500,496642
'11,"서울특별시",'30,"25 - 29세",1997,1197636,616857,580779
'11,"서울특별시",'35,"30 - 34세",1997,956565,501055,455510
'11,"서울특별시",'40,"35 - 39세",1997,975013,484131,490882
'11,"서울특별시",'45,"40 - 44세",1997,849126,412293,436833
'11,"서울특별시",'50,"45 - 49세",1997,646935,321230,325705
'11,"서울특별시",'55,"50 - 54세",1997,530423,265517,264906
'11,"서울특별시",'60,"55 - 59세",1997,461181,235757,225424
'11,"서울특별시",'65,"60 - 64세",1997,298696,143115,155581
'11,"서울특별시",'70,"65 - 69세",1997,189858,78412,111446
'11,"서울특별시",'75,"70 - 74세",1997,128579,46478,82101
'11,"서울특별시",'80,"75 - 79세",1997,87727,29382,58345
'11,"서울특별시",'85,"80 - 84세",1997,48454,13006,35448
'11,"서울특별시",'90,"85+ ",1997,29370,6818,22552
'11110," 종로구",'00,"계",1997,194696,97646,97050
'11110," 종로구",'05,"0 - 4세",1997,10537,5450,5087
'11110," 종로구",'10,"5 - 9세",1997,10372,5527,4845
'11110," 종로구",'15,"10 - 14세",1997,11911,6386,5525
'11110," 종로구",'20,"15 - 19세",1997,15878,8460,7418
'11110," 종로구",'25,"20 - 24세",1997,18755,9433,9322
'11110," 종로구",'30,"25 - 29세",1997,23886,13093,10793
'11110," 종로구",'35,"30 - 34세",1997,16630,8917,7713
'11110," 종로구",'40,"35 - 39세",1997,16660,8220,8440
'11110," 종로구",'45,"40 - 44세",1997,14969,7210,7759
'11110," 종로구",'50,"45 - 49세",1997,11641,5578,6063
'11110," 종로구",'55,"50 - 54세",1997,10866,4956,5910
'11110," 종로구",'60,"55 - 59세",1997,11326,5438,5888
'11110," 종로구",'65,"60 - 64세",1997,8037,3835,4202
'11110," 종로구",'70,"65 - 69세",1997,5098,2160,2938
'11110," 종로구",'75,"70 - 74세",1997,3535,1428,2107
'11110," 종로구",'80,"75 - 79세",1997,2435,960,1475
'11110," 종로구",'85,"80 - 84세",1997,1317,384,933
'11110," 종로구",'90,"85+ ",1997,843,211,632
'11140," 중구",'00,"계",1997,126892,63926,62966
'11140," 중구",'05,"0 - 4세",1997,7053,3703,3350
'11140," 중구",'10,"5 - 9세",1997,6901,3667,3234
'11140," 중구",'15,"10 - 14세",1997,7004,3633,3371
'11140," 중구",'20,"15 - 19세",1997,9909,4987,4922
'11140," 중구",'25,"20 - 24세",1997,12210,6182,6028
'11140," 중구",'30,"25 - 29세",1997,15353,8484,6869
'11140," 중구",'35,"30 - 34세",1997,11266,6141,5125
'11140," 중구",'40,"35 - 39세",1997,11300,5949,5351
'11140," 중구",'45,"40 - 44세",1997,9478,4762,4716
'11140," 중구",'50,"45 - 49세",1997,7717,3727,3990
'11140," 중구",'55,"50 - 54세",1997,7259,3368,3891
'11140," 중구",'60,"55 - 59세",1997,7508,3629,3879
'11140," 중구",'65,"60 - 64세",1997,5273,2374,2899
'11140," 중구",'70,"65 - 69세",1997,3446,1384,2062
'11140," 중구",'75,"70 - 74세",1997,2402,909,1493
'11140," 중구",'80,"75 - 79세",1997,1567,632,935
'11140," 중구",'85,"80 - 84세",1997,763,251,512
'11140," 중구",'90,"85+ ",1997,483,144,339
'11170," 용산구",'00,"계",1997,238304,118601,119703
'11170," 용산구",'05,"0 - 4세",1997,14012,7281,6731
'11170," 용산구",'10,"5 - 9세",1997,12463,6533,5930
'11170," 용산구",'15,"10 - 14세",1997,12834,6783,6051
'11170," 용산구",'20,"15 - 19세",1997,18436,9857,8579
'11170," 용산구",'25,"20 - 24세",1997,22840,11430,11410
'11170," 용산구",'30,"25 - 29세",1997,30185,15996,14189
'11170," 용산구",'35,"30 - 34세",1997,21907,11611,10296
'11170," 용산구",'40,"35 - 39세",1997,20579,10275,10304
'11170," 용산구",'45,"40 - 44세",1997,17832,8545,9287
'11170," 용산구",'50,"45 - 49세",1997,14218,6647,7571
'11170," 용산구",'55,"50 - 54세",1997,13328,6199,7129
'11170," 용산구",'60,"55 - 59세",1997,13950,6474,7476
'11170," 용산구",'65,"60 - 64세",1997,10094,4715,5379
'11170," 용산구",'70,"65 - 69세",1997,6493,2891,3602
'11170," 용산구",'75,"70 - 74세",1997,4181,1674,2507
'11170," 용산구",'80,"75 - 79세",1997,2670,1042,1628
'11170," 용산구",'85,"80 - 84세",1997,1386,420,966
'11170," 용산구",'90,"85+ ",1997,896,228,668
'11200," 성동구",'00,"계",1997,324615,164551,160064
'11200," 성동구",'05,"0 - 4세",1997,23038,12062,10976
'11200," 성동구",'10,"5 - 9세",1997,20621,10776,9845
'11200," 성동구",'15,"10 - 14세",1997,19426,9905,9521
'11200," 성동구",'20,"15 - 19세",1997,24908,12743,12165
'11200," 성동구",'25,"20 - 24세",1997,31254,15299,15955
'11200," 성동구",'30,"25 - 29세",1997,41565,22045,19520
'11200," 성동구",'35,"30 - 34세",1997,32596,17768,14828
'11200," 성동구",'40,"35 - 39세",1997,30999,16463,14536
'11200," 성동구",'45,"40 - 44세",1997,23229,11838,11391
'11200," 성동구",'50,"45 - 49세",1997,17754,8756,8998
'11200," 성동구",'55,"50 - 54세",1997,16247,7800,8447
'11200," 성동구",'60,"55 - 59세",1997,16270,7895,8375
'11200," 성동구",'65,"60 - 64세",1997,10986,5144,5842
'11200," 성동구",'70,"65 - 69세",1997,6647,2868,3779
'11200," 성동구",'75,"70 - 74세",1997,4055,1583,2472
'11200," 성동구",'80,"75 - 79세",1997,2683,996,1687
'11200," 성동구",'85,"80 - 84세",1997,1465,415,1050
'11200," 성동구",'90,"85+ ",1997,872,195,677
'11215," 광진구",'00,"계",1997,396580,200256,196324
'11215," 광진구",'05,"0 - 4세",1997,30140,15737,14403
'11215," 광진구",'10,"5 - 9세",1997,26122,13704,12418
'11215," 광진구",'15,"10 - 14세",1997,25695,13654,12041
'11215," 광진구",'20,"15 - 19세",1997,31869,16632,15237
'11215," 광진구",'25,"20 - 24세",1997,37852,18044,19808
'11215," 광진구",'30,"25 - 29세",1997,52608,26903,25705
'11215," 광진구",'35,"30 - 34세",1997,40334,21643,18691
'11215," 광진구",'40,"35 - 39세",1997,38178,19326,18852
'11215," 광진구",'45,"40 - 44세",1997,30817,15365,15452
'11215," 광진구",'50,"45 - 49세",1997,22447,11226,11221
'11215," 광진구",'55,"50 - 54세",1997,18305,9089,9216
