"동읍면/5세별 주민등록인구"

"C행정구역(동읍면)별","행정구역(동읍면)별","C5세별","5세별","시점","인구 (명)","남 (명)","여 (명)"
'00,"전국",'00,"계",1996,46266256,23242707,23023549
'00,"전국",'05,"0 - 4세",1996,3542970,1884597,1658373
'00,"전국",'10,"5 - 9세",1996,3235725,1706774,1528951
'00,"전국",'15,"10 - 14세",1996,3533742,1831919,1701823
'00,"전국",'20,"15 - 19세",1996,4042044,2074464,1967580
'00,"전국",'25,"20 - 24세",1996,4253520,2180798,2072722
'00,"전국",'30,"25 - 29세",1996,4666244,2377318,2288926
'00,"전국",'35,"30 - 34세",1996,4300296,2231594,2068702
'00,"전국",'40,"35 - 39세",1996,4436083,2272536,2163547
'00,"전국",'45,"40 - 44세",1996,3357332,1716366,1640966
'00,"전국",'50,"45 - 49세",1996,2479679,1263082,1216597
'00,"전국",'55,"50 - 54세",1996,2116007,1049331,1066676
'00,"전국",'60,"55 - 59세",1996,1980079,948741,1031338
'00,"전국",'65,"60 - 64세",1996,1556580,696719,859861
'00,"전국",'70,"65 - 69세",1996,1081020,428976,652044
'00,"전국",'75,"70 - 74세",1996,769115,292907,476208
'00,"전국",'80,"75 - 79세",1996,486117,172100,314017
'00,"전국",'85,"80 - 84세",1996,270368,78737,191631
'00,"전국",'90,"85+ ",1996,159335,35748,123587
'11,"서울특별시",'00,"계",1996,10418076,5231039,5187037
'11,"서울특별시",'05,"0 - 4세",1996,734080,386988,347092
'11,"서울특별시",'10,"5 - 9세",1996,648385,341417,306968
'11,"서울특별시",'15,"10 - 14세",1996,756739,397106,359633
'11,"서울특별시",'20,"15 - 19세",1996,916104,476453,439651
'11,"서울특별시",'25,"20 - 24세",1996,1021075,503501,517574
'11,"서울특별시",'30,"25 - 29세",1996,1196721,614425,582296
'11,"서울특별시",'35,"30 - 34세",1996,977972,515853,462119
'11,"서울특별시",'40,"35 - 39세",1996,992488,490292,502196
'11,"서울특별시",'45,"40 - 44세",1996,834618,405845,428773
'11,"서울특별시",'50,"45 - 49세",1996,634163,315299,318864
'11,"서울특별시",'55,"50 - 54세",1996,530957,269594,261363
'11,"서울특별시",'60,"55 - 59세",1996,424376,215453,208923
'11,"서울특별시",'65,"60 - 64세",1996,282632,133303,149329
'11,"서울특별시",'70,"65 - 69세",1996,182480,73241,109239
'11,"서울특별시",'75,"70 - 74세",1996,127420,46117,81303
'11,"서울특별시",'80,"75 - 79세",1996,83221,27418,55803
'11,"서울특별시",'85,"80 - 84세",1996,46759,12312,34447
'11,"서울특별시",'90,"85+ ",1996,27886,6422,21464
'11110," 종로구",'00,"계",1996,197563,99067,98496
'11110," 종로구",'05,"0 - 4세",1996,10983,5697,5286
'11110," 종로구",'10,"5 - 9세",1996,10310,5473,4837
'11110," 종로구",'15,"10 - 14세",1996,12896,6869,6027
'11110," 종로구",'20,"15 - 19세",1996,16186,8550,7636
'11110," 종로구",'25,"20 - 24세",1996,20407,10337,10070
'11110," 종로구",'30,"25 - 29세",1996,23832,13143,10689
'11110," 종로구",'35,"30 - 34세",1996,16887,9082,7805
'11110," 종로구",'40,"35 - 39세",1996,16968,8381,8587
'11110," 종로구",'45,"40 - 44세",1996,14718,7028,7690
'11110," 종로구",'50,"45 - 49세",1996,11583,5493,6090
'11110," 종로구",'55,"50 - 54세",1996,11526,5321,6205
'11110," 종로구",'60,"55 - 59세",1996,10698,5111,5587
'11110," 종로구",'65,"60 - 64세",1996,7693,3646,4047
'11110," 종로구",'70,"65 - 69세",1996,4951,2055,2896
'11110," 종로구",'75,"70 - 74세",1996,3515,1433,2082
'11110," 종로구",'80,"75 - 79세",1996,2293,866,1427
'11110," 종로구",'85,"80 - 84세",1996,1301,383,918
'11110," 종로구",'90,"85+ ",1996,816,199,617
'11140," 중구",'00,"계",1996,132189,66538,65651
'11140," 중구",'05,"0 - 4세",1996,7728,4069,3659
'11140," 중구",'10,"5 - 9세",1996,6976,3674,3302
'11140," 중구",'15,"10 - 14세",1996,7904,4061,3843
'11140," 중구",'20,"15 - 19세",1996,10258,5171,5087
'11140," 중구",'25,"20 - 24세",1996,13587,6926,6661
'11140," 중구",'30,"25 - 29세",1996,16135,8907,7228
'11140," 중구",'35,"30 - 34세",1996,11760,6503,5257
'11140," 중구",'40,"35 - 39세",1996,11803,6109,5694
'11140," 중구",'45,"40 - 44세",1996,9479,4683,4796
'11140," 중구",'50,"45 - 49세",1996,7867,3808,4059
'11140," 중구",'55,"50 - 54세",1996,7863,3698,4165
'11140," 중구",'60,"55 - 59세",1996,7152,3385,3767
